Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Spain,ESP,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.5772474403069
Spain,ESP,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.189060520875
Spain,ESP,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.1336838527818
Spain,ESP,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.4439519776694
Spain,ESP,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.8613782211471
Spain,ESP,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.0409698327599
Spain,ESP,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.0888982220356
Spain,ESP,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0903220631292
Spain,ESP,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.4194065757819
Spain,ESP,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1078720121817
Spain,ESP,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.3429796785442
Spain,ESP,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.4343505179427
Spain,ESP,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.2375095156056
Spain,ESP,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.3982692654394
Spain,ESP,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.9511862776531
Spain,ESP,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.2152772205729
Spain,ESP,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.6513026052104
Spain,ESP,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.6227775108121
Spain,ESP,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.9831811629025
Spain,ESP,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.1854076565754
Spain,ESP,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3455870575044
Spain,ESP,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.5046452026269
Spain,ESP,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4336857280154
Spain,ESP,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.1333493512734
Spain,ESP,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.6259010091302
Spain,ESP,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.8101073201986
Spain,ESP,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0123338138715
Spain,ESP,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.4708473490309
Spain,ESP,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.2245715201025
Spain,ESP,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.2706230978696
Spain,ESP,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.2886432804741
Spain,ESP,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.4928720166587
Spain,ESP,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.3246836456832
Spain,ESP,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.6522836033078
Spain,ESP,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.4494454010331
Spain,ESP,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.4794778360629
Spain,ESP,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.5422948325225
Spain,ESP,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7677463266205
Spain,ESP,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.0152343202611
Spain,ESP,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.2381791247948
Spain,ESP,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.0862541785936
Spain,ESP,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.8892780657687
Spain,ESP,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.1880940470235
Spain,ESP,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.5884189043179
Spain,ESP,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.1646724558806
Spain,ESP,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.3967745808156
Spain,ESP,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.2662771619513
Spain,ESP,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.0826363599984
Spain,ESP,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.3463123774461
Spain,ESP,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7925087038297
Spain,ESP,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.340309736284
Spain,ESP,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.4167833846893
Spain,ESP,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.5348353275441
Spain,ESP,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.3031733962944
Spain,ESP,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.4932570330946
Spain,ESP,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.4892552723198
Spain,ESP,2016,Arable land (% of land area),AG.LND.ARBL.ZS,24.6958949671581
Spain,ESP,2015,Arable land (% of land area),AG.LND.ARBL.ZS,24.5730992465048
Spain,ESP,2014,Arable land (% of land area),AG.LND.ARBL.ZS,24.5456908098599
Spain,ESP,2013,Arable land (% of land area),AG.LND.ARBL.ZS,24.3517722556526
Spain,ESP,2012,Arable land (% of land area),AG.LND.ARBL.ZS,25.1294456328342
Spain,ESP,2011,Arable land (% of land area),AG.LND.ARBL.ZS,24.8639673521645
Spain,ESP,2010,Arable land (% of land area),AG.LND.ARBL.ZS,25.0554988900222
Spain,ESP,2009,Arable land (% of land area),AG.LND.ARBL.ZS,25.0611639193037
Spain,ESP,2008,Arable land (% of land area),AG.LND.ARBL.ZS,25.0360866078589
Spain,ESP,2007,Arable land (% of land area),AG.LND.ARBL.ZS,25.2168860571818
Spain,ESP,2006,Arable land (% of land area),AG.LND.ARBL.ZS,25.4920036875225
Spain,ESP,2005,Arable land (% of land area),AG.LND.ARBL.ZS,25.8730890220201
Spain,ESP,2004,Arable land (% of land area),AG.LND.ARBL.ZS,26.0927921791738
Spain,ESP,2003,Arable land (% of land area),AG.LND.ARBL.ZS,26.0751988141263
Spain,ESP,2002,Arable land (% of land area),AG.LND.ARBL.ZS,25.8676659185636
Spain,ESP,2001,Arable land (% of land area),AG.LND.ARBL.ZS,26.2055684827088
Spain,ESP,2000,Arable land (% of land area),AG.LND.ARBL.ZS,26.8537074148297
Spain,ESP,1999,Arable land (% of land area),AG.LND.ARBL.ZS,26.9561909338459
Spain,ESP,1998,Arable land (% of land area),AG.LND.ARBL.ZS,27.3986865289124
Spain,ESP,1997,Arable land (% of land area),AG.LND.ARBL.ZS,28.6020342783918
Spain,ESP,1996,Arable land (% of land area),AG.LND.ARBL.ZS,28.9324042928079
Spain,ESP,1995,Arable land (% of land area),AG.LND.ARBL.ZS,28.1214960756047
Spain,ESP,1994,Arable land (% of land area),AG.LND.ARBL.ZS,29.6452026269422
Spain,ESP,1993,Arable land (% of land area),AG.LND.ARBL.ZS,29.9975973089861
Spain,ESP,1992,Arable land (% of land area),AG.LND.ARBL.ZS,30.4360884190293
Spain,ESP,1991,Arable land (% of land area),AG.LND.ARBL.ZS,30.5502162421913
Spain,ESP,1990,Arable land (% of land area),AG.LND.ARBL.ZS,30.7043889155855
Spain,ESP,1989,Arable land (% of land area),AG.LND.ARBL.ZS,31.058785840141
Spain,ESP,1988,Arable land (% of land area),AG.LND.ARBL.ZS,31.1889316033958
Spain,ESP,1987,Arable land (% of land area),AG.LND.ARBL.ZS,31.2029473009771
Spain,ESP,1986,Arable land (% of land area),AG.LND.ARBL.ZS,31.1649046932564
Spain,ESP,1985,Arable land (% of land area),AG.LND.ARBL.ZS,31.1629024507448
Spain,ESP,1984,Arable land (% of land area),AG.LND.ARBL.ZS,31.3370975492552
Spain,ESP,1983,Arable land (% of land area),AG.LND.ARBL.ZS,31.2195903329796
Spain,ESP,1982,Arable land (% of land area),AG.LND.ARBL.ZS,31.1636567492892
Spain,ESP,1981,Arable land (% of land area),AG.LND.ARBL.ZS,31.1716653986305
Spain,ESP,1980,Arable land (% of land area),AG.LND.ARBL.ZS,31.1490179590366
Spain,ESP,1979,Arable land (% of land area),AG.LND.ARBL.ZS,31.1846899147215
Spain,ESP,1978,Arable land (% of land area),AG.LND.ARBL.ZS,31.3094308650131
Spain,ESP,1977,Arable land (% of land area),AG.LND.ARBL.ZS,31.2887856828282
Spain,ESP,1976,Arable land (% of land area),AG.LND.ARBL.ZS,31.340953219769
Spain,ESP,1975,Arable land (% of land area),AG.LND.ARBL.ZS,31.6654324199908
Spain,ESP,1974,Arable land (% of land area),AG.LND.ARBL.ZS,31.8519259629815
Spain,ESP,1973,Arable land (% of land area),AG.LND.ARBL.ZS,32.1221337388451
Spain,ESP,1972,Arable land (% of land area),AG.LND.ARBL.ZS,32.5903397494898
