Fecha,Gasolina,Diesel
04/08/2016,1.12,1.0
05/08/2016,1.12,1.0
08/08/2016,1.12,1.0
09/08/2016,1.12,0.99
10/08/2016,1.12,0.99
11/08/2016,1.12,0.99
12/08/2016,1.12,0.99
15/08/2016,1.12,0.99
16/08/2016,1.13,1.01
17/08/2016,1.13,1.01
18/08/2016,1.13,1.01
19/08/2016,1.13,1.01
22/08/2016,1.13,1.01
23/08/2016,1.15,1.03
24/08/2016,1.15,1.03
25/08/2016,1.15,1.03
26/08/2016,1.15,1.03
29/08/2016,1.15,1.03
30/08/2016,1.16,1.04
31/08/2016,1.16,1.04
01/09/2016,1.16,1.04
02/09/2016,1.16,1.04
05/09/2016,1.16,1.04
06/09/2016,1.15,1.03
07/09/2016,1.15,1.03
08/09/2016,1.15,1.03
09/09/2016,1.15,1.03
12/09/2016,1.15,1.03
13/09/2016,1.16,1.03
14/09/2016,1.16,1.03
15/09/2016,1.16,1.03
16/09/2016,1.16,1.03
19/09/2016,1.16,1.03
20/09/2016,1.15,1.02
21/09/2016,1.15,1.02
22/09/2016,1.15,1.02
23/09/2016,1.15,1.02
26/09/2016,1.15,1.02
27/09/2016,1.15,1.03
28/09/2016,1.15,1.03
29/09/2016,1.15,1.03
30/09/2016,1.15,1.03
03/10/2016,1.15,1.03
04/10/2016,1.16,1.04
05/10/2016,1.16,1.04
06/10/2016,1.16,1.04
07/10/2016,1.16,1.04
10/10/2016,1.16,1.04
11/10/2016,1.18,1.06
12/10/2016,1.18,1.06
13/10/2016,1.18,1.06
14/10/2016,1.18,1.06
17/10/2016,1.18,1.06
18/10/2016,1.18,1.07
19/10/2016,1.18,1.07
20/10/2016,1.18,1.07
21/10/2016,1.18,1.07
24/10/2016,1.18,1.07
25/10/2016,1.18,1.07
26/10/2016,1.18,1.07
27/10/2016,1.18,1.07
28/10/2016,1.18,1.07
31/10/2016,1.18,1.07
01/11/2016,1.18,1.07
02/11/2016,1.18,1.07
03/11/2016,1.18,1.07
04/11/2016,1.18,1.07
07/11/2016,1.18,1.07
08/11/2016,1.17,1.05
14/11/2016,1.17,1.05
15/11/2016,1.16,1.04
16/11/2016,1.16,1.04
17/11/2016,1.16,1.04
18/11/2016,1.16,1.04
21/11/2016,1.16,1.04
22/11/2016,1.16,1.05
23/11/2016,1.16,1.05
24/11/2016,1.16,1.05
25/11/2016,1.16,1.05
28/11/2016,1.16,1.05
29/11/2016,1.17,1.06
30/11/2016,1.17,1.06
01/12/2016,1.17,1.06
02/12/2016,1.17,1.06
05/12/2016,1.17,1.06
06/12/2016,1.19,1.08
07/12/2016,1.19,1.08
08/12/2016,1.19,1.08
12/12/2016,1.19,1.08
13/12/2016,1.2,1.09
14/12/2016,1.2,1.09
15/12/2016,1.2,1.09
16/12/2016,1.2,1.09
19/12/2016,1.2,1.09
20/12/2016,1.22,1.11
21/12/2016,1.22,1.11
22/12/2016,1.22,1.11
23/12/2016,1.22,1.11
26/12/2016,1.22,1.11
27/12/2016,1.22,1.12
28/12/2016,1.22,1.12
29/12/2016,1.22,1.12
30/12/2016,1.22,1.12
02/01/2017,1.22,1.12
03/01/2017,1.24,1.13
04/01/2017,1.24,1.13
05/01/2017,1.24,1.13
06/01/2017,1.24,1.13
10/01/2017,1.24,1.13
11/01/2017,1.24,1.13
12/01/2017,1.24,1.13
13/01/2017,1.24,1.13
16/01/2017,1.24,1.13
17/01/2017,1.24,1.12
18/01/2017,1.24,1.12
19/01/2017,1.24,1.12
20/01/2017,1.24,1.12
23/01/2017,1.24,1.12
24/01/2017,1.24,1.12
25/01/2017,1.24,1.12
26/01/2017,1.24,1.12
27/01/2017,1.24,1.12
30/01/2017,1.24,1.12
31/01/2017,1.24,1.12
01/02/2017,1.24,1.12
02/02/2017,1.24,1.12
03/02/2017,1.24,1.12
06/02/2017,1.24,1.12
07/02/2017,1.24,1.12
08/02/2017,1.24,1.12
09/02/2017,1.24,1.12
10/02/2017,1.24,1.12
13/02/2017,1.24,1.12
14/02/2017,1.25,1.13
15/02/2017,1.25,1.13
16/02/2017,1.25,1.13
17/02/2017,1.25,1.13
20/02/2017,1.25,1.13
21/02/2017,1.25,1.13
