"Codigos","Anno","nombrePais","ratio","PIB","ratio.por.PIB","poblacion","ratio.por.poblacion","PIB.por.hab","ratio.PIB.por.hab"
"AT","2006","Austria",62.4,266478,2.34,8254298,75.6,32280,19.33
"AT","2007","Austria",64.6,282346.9,2.29,8282984,77.99,34090,18.95
"AT","2008","Austria",65.2,291930.4,2.23,8307989,78.48,35140,18.55
"AT","2009","Austria",67.8,286188.4,2.37,8335003,81.34,34340,19.74
"AT","2010","Austria",65.7,294627.5,2.23,8351643,78.67,35280,18.62
"AT","2011","Austria",66,308630.3,2.14,8375164,78.8,36850,17.91
"AT","2012","Austria",66.5,317117,2.1,8408121,79.09,37720,17.63
"AT","2013","Austria",68,322539.2,2.11,8451860,80.46,38160,17.82
"AT","2014","Austria",70,330417.6,2.12,8506889,82.29,38840,18.02
"BE","2006","Bélgica",3.1,326662,0.09,10511382,2.95,31080,1
"BE","2007","Bélgica",3.6,344713,0.1,10584534,3.4,32570,1.11
"BE","2008","Bélgica",4.6,354066,0.13,10666866,4.31,33190,1.39
"BE","2009","Bélgica",6.2,348781,0.18,10753080,5.77,32440,1.91
"BE","2010","Bélgica",7.1,365101,0.19,10839905,6.55,33680,2.11
"BE","2011","Bélgica",9.1,379106,0.24,11000638,8.27,34460,2.64
"BE","2012","Bélgica",11.3,387500,0.29,11094850,10.18,34930,3.24
"BE","2013","Bélgica",12.4,391712,0.32,11161642,11.11,35090,3.53
"BE","2014","Bélgica",13.4,400805,0.33,11203992,11.96,35770,3.75
"BG","2006","Bulgaria",9.3,27210.9,3.42,7629371,12.19,3570,26.05
"BG","2007","Bulgaria",9.4,32449.1,2.9,7572673,12.41,4290,21.91
"BG","2008","Bulgaria",10,37200.1,2.69,7518002,13.3,4950,20.2
"BG","2009","Bulgaria",11.3,37317.7,3.03,7467119,15.13,5000,22.6
"BG","2010","Bulgaria",12.7,38230.5,3.32,7421766,17.11,5150,24.66
"BG","2011","Bulgaria",12.9,41292,3.12,7369431,17.5,5600,23.04
"BG","2012","Bulgaria",16.1,41947.2,3.84,7327224,21.97,5720,28.15
"BG","2013","Bulgaria",18.9,42011.5,4.5,7284552,25.95,5770,32.76
"BG","2014","Bulgaria",18.9,42762.2,4.42,7245677,26.08,5900,32.03
"CY","2006","Chipre",0,16263.8,0,744013,0,21860,0
"CY","2007","Chipre",0.1,17591,0.06,757916,1.32,23210,0.04
"CY","2008","Chipre",0.3,19006,0.16,776333,3.86,24480,0.12
"CY","2009","Chipre",0.6,18673.5,0.32,796930,7.53,23430,0.26
