"","Codigos","Anno","nombrePais","ratio","PIB","ENERGIA","RENOVABLE","poblacion","ren.por.habitante","ren.por.PIB"
"1","AT","2006","Austria",62.4,266478,60255,37599.12,8254298,9.01,8.95
"2","AT","2007","Austria",64.6,282346.9,61253,39569.44,8282984,9.45,8.89
"3","AT","2008","Austria",65.2,291930.4,60667,39554.88,8307989,9.42,8.59
"4","AT","2009","Austria",67.8,286188.4,57703,39122.63,8335003,9.29,8.67
"5","AT","2010","Austria",65.7,294627.5,60317,39628.27,8351643,9.39,8.53
"6","AT","2011","Austria",66,308630.3,60193,39727.38,8375164,9.38,8.17
"7","AT","2012","Austria",66.5,317117,61087,40622.86,8408121,9.56,8.13
"8","AT","2013","Austria",68,322539.2,61011,41487.48,8451860,9.71,8.16
"9","AT","2014","Austria",70,330417.6,60468,42327.6,8506889,9.84,8.13
"10","BE","2006","Bélgica",3.1,326662,82606,2560.79,10511382,0.48,0.5
"11","BE","2007","Bélgica",3.6,344713,82898,2984.33,10584534,0.56,0.55
"12","BE","2008","Bélgica",4.6,354066,82686,3803.56,10666866,0.71,0.68
"13","BE","2009","Bélgica",6.2,348781,77255,4789.81,10753080,0.88,0.87
"14","BE","2010","Bélgica",7.1,365101,83311,5915.08,10839905,1.08,1.03
"15","BE","2011","Bélgica",9.1,379106,80592,7333.87,11000638,1.32,1.23
"16","BE","2012","Bélgica",11.3,387500,81713,9233.57,11094850,1.65,1.51
"17","BE","2013","Bélgica",12.4,391712,81744,10136.26,11161642,1.8,1.64
"18","BE","2014","Bélgica",13.4,400805,80561,10795.17,11203992,1.91,1.71
"19","BG","2006","Bulgaria",9.3,27210.9,26888,2500.58,7629371,0.65,5.83
"20","BG","2007","Bulgaria",9.4,32449.1,27213,2558.02,7572673,0.67,5
"21","BG","2008","Bulgaria",10,37200.1,28658,2865.8,7518002,0.75,4.89
"22","BG","2009","Bulgaria",11.3,37317.7,26847,3033.71,7467119,0.8,5.16
"23","BG","2010","Bulgaria",12.7,38230.5,27103,3442.08,7421766,0.92,5.71
"24","BG","2011","Bulgaria",12.9,41292,28421,3666.31,7369431,0.98,5.63
"25","BG","2012","Bulgaria",16.1,41947.2,27845,4483.05,7327224,1.21,6.78
