"TIME","GEO","UNIT","NA_ITEM","Value"
"2006","EU28","Current prices, million euro","Gross domestic product at market prices","12 255 377.8"
"2006","EU15","Current prices, million euro","Gross domestic product at market prices","11 446 199.9"
"2006","EA","Current prices, million euro","Gross domestic product at market prices","8 750 510.4"
"2006","EA19","Current prices, million euro","Gross domestic product at market prices","8 904 116.6"
"2006","EA12","Current prices, million euro","Gross domestic product at market prices","8 750 510.4"
"2006","BE","Current prices, million euro","Gross domestic product at market prices","326 662.0"
"2006","BG","Current prices, million euro","Gross domestic product at market prices","27 210.9"
"2006","CZ","Current prices, million euro","Gross domestic product at market prices","123 743.2"
"2006","DK","Current prices, million euro","Gross domestic product at market prices","225 592.0"
"2006","DE","Current prices, million euro","Gross domestic product at market prices","2 393 250.0"
"2006","EE","Current prices, million euro","Gross domestic product at market prices","13 521.7"
"2006","IE","Current prices, million euro","Gross domestic product at market prices","185 060.7"
"2006","EL","Current prices, million euro","Gross domestic product at market prices","217 861.6"
"2006","ES","Current prices, million euro","Gross domestic product at market prices","1 007 974.0"
"2006","FR","Current prices, million euro","Gross domestic product at market prices","1 853 267.0"
"2006","HR","Current prices, million euro","Gross domestic product at market prices","40 197.8"
"2006","IT","Current prices, million euro","Gross domestic product at market prices","1 548 473.4"
"2006","CY","Current prices, million euro","Gross domestic product at market prices","16 263.8"
"2006","LV","Current prices, million euro","Gross domestic product at market prices","17 264.1"
"2006","LT","Current prices, million euro","Gross domestic product at market prices","24 079.2"
"2006","LU","Current prices, million euro","Gross domestic product at market prices","33 409.3"
"2006","HU","Current prices, million euro","Gross domestic product at market prices","91 398.7"
"2006","MT","Current prices, million euro","Gross domestic product at market prices","5 386.1"
"2006","NL","Current prices, million euro","Gross domestic product at market prices","579 212.0"
"2006","AT","Current prices, million euro","Gross domestic product at market prices","266 478.0"
"2006","PL","Current prices, million euro","Gross domestic product at market prices","274 602.5"
"2006","PT","Current prices, million euro","Gross domestic product at market prices","166 248.7"
"2006","RO","Current prices, million euro","Gross domestic product at market prices","98 418.6"
"2006","SI","Current prices, million euro","Gross domestic product at market prices","31 561.2"
"2006","SK","Current prices, million euro","Gross domestic product at market prices","45 530.2"
"2006","FI","Current prices, million euro","Gross domestic product at market prices","172 614.0"
"2006","SE","Current prices, million euro","Gross domestic product at market prices","334 876.5"
"2006","UK","Current prices, million euro","Gross domestic product at market prices","2 135 220.7"
"2006","IS","Current prices, million euro","Gross domestic product at market prices","13 629.2"
"2006","NO","Current prices, million euro","Gross domestic product at market prices","275 289.8"
"2006","CH","Current prices, million euro","Gross domestic product at market prices","342 123.1"
"2006","ME","Current prices, million euro","Gross domestic product at market prices",":"
"2006","MK","Current prices, million euro","Gross domestic product at market prices","5 472.2"
"2006","AL","Current prices, million euro","Gross domestic product at market prices",":"
"2006","RS","Current prices, million euro","Gross domestic product at market prices","24 434.6"
"2006","XK","Current prices, million euro","Gross domestic product at market prices",":"
"2007","EU28","Current prices, million euro","Gross domestic product at market prices","12 983 365.7"
"2007","EU15","Current prices, million euro","Gross domestic product at market prices","12 045 308.0"
"2007","EA","Current prices, million euro","Gross domestic product at market prices","9 253 555.8"
"2007","EA19","Current prices, million euro","Gross domestic product at market prices","9 401 112.3"
"2007","EA12","Current prices, million euro","Gross domestic product at market prices","9 218 403.2"
"2007","BE","Current prices, million euro","Gross domestic product at market prices","344 713.0"
"2007","BG","Current prices, million euro","Gross domestic product at market prices","32 449.1"
"2007","CZ","Current prices, million euro","Gross domestic product at market prices","138 004.0"
"2007","DK","Current prices, million euro","Gross domestic product at market prices","233 439.5"
"2007","DE","Current prices, million euro","Gross domestic product at market prices","2 513 230.0"
"2007","EE","Current prices, million euro","Gross domestic product at market prices","16 246.4"
"2007","IE","Current prices, million euro","Gross domestic product at market prices","197 293.4"
"2007","EL","Current prices, million euro","Gross domestic product at market prices","232 694.6"
"2007","ES","Current prices, million euro","Gross domestic product at market prices","1 080 807.0"
"2007","FR","Current prices, million euro","Gross domestic product at market prices","1 945 670.0"
"2007","HR","Current prices, million euro","Gross domestic product at market prices","43 925.8"
"2007","IT","Current prices, million euro","Gross domestic product at market prices","1 609 550.8"
"2007","CY","Current prices, million euro","Gross domestic product at market prices","17 591.0"
"2007","LV","Current prices, million euro","Gross domestic product at market prices","22 679.3"
