TIME,GEO,Value
2005,BE,80 202
2006,BE,82 606
2007,BE,82 898
2008,BE,82 686
2009,BE,77 255
2010,BE,83 311
2011,BE,80 592
2012,BE,81 713
2013,BE,81 744
2014,BE,80 561
2005,BG,25 716
2006,BG,26 888
2007,BG,27 213
2008,BG,28 658
2009,BG,26 847
2010,BG,27 103
2011,BG,28 421
2012,BG,27 845
2013,BG,27 532
2014,BG,27 674
2005,CZ,55 291
2006,CZ,57 016
2007,CZ,57 234
2008,CZ,58 033
2009,CZ,54 906
2010,CZ,57 204
2011,CZ,56 751
2012,CZ,56 654
2013,CZ,56 691
2014,CZ,56 203
2005,DK,33 462
2006,DK,33 786
2007,DK,33 476
2008,DK,33 123
2009,DK,31 445
2010,DK,32 058
2011,DK,31 659
2012,DK,31 181
2013,DK,31 213
2014,DK,30 625
2005,DE,522 264
2006,DE,527 970
2007,DE,529 356
2008,DE,527 574
2009,DE,497 259
2010,DE,532 424
2011,DE,525 546
2012,DE,525 834
2013,DE,523 201
2014,DE,512 835
2005,EE,6 040
2006,EE,6 490
2007,EE,6 795
2008,EE,7 004
2009,EE,6 650
2010,EE,6 908
2011,EE,6 627
2012,EE,6 978
2013,EE,6 820
2014,EE,6 906
2005,IE,24 352
2006,IE,25 879
2007,IE,25 863
2008,IE,26 674
2009,IE,25 268
2010,IE,25 420
2011,IE,24 871
2012,IE,24 163
2013,IE,24 201
2014,IE,24 136
2005,EL,50 904
2006,EL,52 523
2007,EL,55 190
2008,EL,56 646
2009,EL,54 713
2010,EL,53 120
2011,EL,51 794
2012,EL,52 017
2013,EL,48 791
2014,EL,49 500
2005,ES,242 222
2006,ES,246 125
2007,ES,250 785
2008,ES,255 094
2009,ES,239 778
2010,ES,244 802
2011,ES,243 509
2012,ES,240 248
2013,ES,230 087
2014,ES,226 897
2005,FR,422 771
2006,FR,426 925
2007,FR,426 015
2008,FR,432 736
2009,FR,417 955
2010,FR,444 089
2011,FR,417 566
2012,FR,434 093
2013,FR,440 710
2014,FR,415 325
2005,HR,14 417
2006,HR,15 079
2007,HR,15 384
2008,HR,16 137
2009,HR,15 511
2010,HR,15 862
2011,HR,15 735
2012,HR,15 350
2013,HR,15 072
2014,HR,14 833
2005,IT,300 880
2006,IT,308 777
2007,IT,309 318
2008,IT,309 317
2009,IT,290 016
2010,IT,299 313
2011,IT,301 828
2012,IT,296 742
2013,IT,287 398
2014,IT,281 498
2005,CY,3 960
2006,CY,4 168
2007,CY,4 385
2008,CY,4 634
2009,CY,4 751
2010,CY,4 882
2011,CY,4 721
2012,CY,4 409
2013,CY,3 921
2014,CY,3 965
2005,LV,5 729
2006,LV,6 143
2007,LV,6 606
2008,LV,6 628
2009,LV,6 103
2010,LV,6 215
2011,LV,6 191
2012,LV,6 848
2013,LV,6 576
2014,LV,6 583
2005,LT,7 977
2006,LT,8 432
2007,LT,8 859
2008,LT,9 045
2009,LT,8 371
2010,LT,8 332
2011,LT,8 580
2012,LT,8 921
2013,LT,8 955
2014,LT,9 237
2005,LU,6 150
2006,LU,6 614
2007,LU,6 695
2008,LU,6 595
2009,LU,6 114
2010,LU,6 605
2011,LU,6 529
2012,LU,6 270
2013,LU,6 207
2014,LU,6 228
2005,HU,32 338
2006,HU,33 238
2007,HU,33 744
2008,HU,34 327
2009,HU,33 150
2010,HU,34 207
2011,HU,34 540
2012,HU,32 812
2013,HU,34 873
2014,HU,34 704
2005,MT,1 858
2006,MT,1 853
2007,MT,1 851
2008,MT,1 853
2009,MT,1 707
2010,MT,1 855
2011,MT,1 900
2012,MT,1 979
2013,MT,1 980
2014,MT,2 032
2005,NL,104 666
2006,NL,105 885
2007,NL,108 112
2008,NL,108 740
2009,NL,104 994
2010,NL,108 000
