"TIME","GEO","INDIC_DE","Value"
"2003","BE","Population on 1 January - total ","10 355 844"
"2004","BE","Population on 1 January - total ","10 396 421"
"2005","BE","Population on 1 January - total ","10 445 852"
"2006","BE","Population on 1 January - total ","10 511 382"
"2007","BE","Population on 1 January - total ","10 584 534"
"2008","BE","Population on 1 January - total ","10 666 866"
"2009","BE","Population on 1 January - total ","10 753 080"
"2010","BE","Population on 1 January - total ","10 839 905"
"2011","BE","Population on 1 January - total ","11 000 638"
"2012","BE","Population on 1 January - total ","11 094 850"
"2013","BE","Population on 1 January - total ","11 161 642"
"2014","BE","Population on 1 January - total ","11 203 992"
"2015","BE","Population on 1 January - total ","11 208 986"
"2016","BE","Population on 1 January - total ","11 289 853"
"2003","BG","Population on 1 January - total ","7 805 506"
"2004","BG","Population on 1 January - total ","7 745 147"
"2005","BG","Population on 1 January - total ","7 688 573"
"2006","BG","Population on 1 January - total ","7 629 371"
"2007","BG","Population on 1 January - total ","7 572 673"
"2008","BG","Population on 1 January - total ","7 518 002"
"2009","BG","Population on 1 January - total ","7 467 119"
"2010","BG","Population on 1 January - total ","7 421 766"
"2011","BG","Population on 1 January - total ","7 369 431"
"2012","BG","Population on 1 January - total ","7 327 224"
"2013","BG","Population on 1 January - total ","7 284 552"
"2014","BG","Population on 1 January - total ","7 245 677"
"2015","BG","Population on 1 January - total ","7 202 198"
"2016","BG","Population on 1 January - total ","7 153 784"
"2003","CZ","Population on 1 January - total ","10 192 649"
"2004","CZ","Population on 1 January - total ","10 195 347"
"2005","CZ","Population on 1 January - total ","10 198 855"
"2006","CZ","Population on 1 January - total ","10 223 577"
"2007","CZ","Population on 1 January - total ","10 254 233"
"2008","CZ","Population on 1 January - total ","10 343 422"
"2009","CZ","Population on 1 January - total ","10 425 783"
"2010","CZ","Population on 1 January - total ","10 462 088"
"2011","CZ","Population on 1 January - total ","10 486 731"
"2012","CZ","Population on 1 January - total ","10 505 445"
"2013","CZ","Population on 1 January - total ","10 516 125"
"2014","CZ","Population on 1 January - total ","10 512 419"
"2015","CZ","Population on 1 January - total ","10 538 275"
"2016","CZ","Population on 1 January - total ","10 553 843"
"2003","DK","Population on 1 January - total ","5 383 507"
"2004","DK","Population on 1 January - total ","5 397 640"
"2005","DK","Population on 1 January - total ","5 411 405"
"2006","DK","Population on 1 January - total ","5 427 459"
"2007","DK","Population on 1 January - total ","5 447 084"
"2008","DK","Population on 1 January - total ","5 475 791"
"2009","DK","Population on 1 January - total ","5 511 451"
"2010","DK","Population on 1 January - total ","5 534 738"
"2011","DK","Population on 1 January - total ","5 560 628"
"2012","DK","Population on 1 January - total ","5 580 516"
"2013","DK","Population on 1 January - total ","5 602 628"
"2014","DK","Population on 1 January - total ","5 627 235"
"2015","DK","Population on 1 January - total ","5 659 715"
"2016","DK","Population on 1 January - total ","5 707 251"
"2003","DE","Population on 1 January - total ","82 536 680"
"2004","DE","Population on 1 January - total ","82 531 671"
"2005","DE","Population on 1 January - total ","82 500 849"
"2006","DE","Population on 1 January - total ","82 437 995"
"2007","DE","Population on 1 January - total ","82 314 906"
"2008","DE","Population on 1 January - total ","82 217 837"
"2009","DE","Population on 1 January - total ","82 002 356"
"2010","DE","Population on 1 January - total ","81 802 257"
"2011","DE","Population on 1 January - total ","80 222 065"
"2012","DE","Population on 1 January - total ","80 327 900"
"2013","DE","Population on 1 January - total ","80 523 746"
"2014","DE","Population on 1 January - total ","80 767 463"
"2015","DE","Population on 1 January - total ","81 197 537"
"2016","DE","Population on 1 January - total ","82 162 000"
"2003","DE_TOT","Population on 1 January - total ","82 536 680"
"2004","DE_TOT","Population on 1 January - total ","82 531 671"
"2005","DE_TOT","Population on 1 January - total ","82 500 849"
"2006","DE_TOT","Population on 1 January - total ","82 437 995"
"2007","DE_TOT","Population on 1 January - total ","82 314 906"
"2008","DE_TOT","Population on 1 January - total ","82 217 837"
"2009","DE_TOT","Population on 1 January - total ","82 002 356"
"2010","DE_TOT","Population on 1 January - total ","81 802 257"
"2011","DE_TOT","Population on 1 January - total ","80 222 065"
"2012","DE_TOT","Population on 1 January - total ","80 327 900"
"2013","DE_TOT","Population on 1 January - total ","80 523 746"
"2014","DE_TOT","Population on 1 January - total ","80 767 463"
"2015","DE_TOT","Population on 1 January - total ","81 197 537"
"2016","DE_TOT","Population on 1 January - total ","82 162 000"
"2003","EE","Population on 1 January - total ","1 375 190"
"2004","EE","Population on 1 January - total ","1 366 250"
"2005","EE","Population on 1 January - total ","1 358 850"
"2006","EE","Population on 1 January - total ","1 350 700"
"2007","EE","Population on 1 January - total ","1 342 920"
"2008","EE","Population on 1 January - total ","1 338 440"
"2009","EE","Population on 1 January - total ","1 335 740"
"2010","EE","Population on 1 January - total ","1 333 290"
"2011","EE","Population on 1 January - total ","1 329 660"
"2012","EE","Population on 1 January - total ","1 325 217"
"2013","EE","Population on 1 January - total ","1 320 174"
"2014","EE","Population on 1 January - total ","1 315 819"
"2015","EE","Population on 1 January - total ","1 313 271"
"2016","EE","Population on 1 January - total ","1 315 944"
"2003","IE","Population on 1 January - total ","3 964 191"
"2004","IE","Population on 1 January - total ","4 028 851"
"2005","IE","Population on 1 January - total ","4 111 672"
"2006","IE","Population on 1 January - total ","4 208 156"
"2007","IE","Population on 1 January - total ","4 340 118"
"2008","IE","Population on 1 January - total ","4 457 765"
"2009","IE","Population on 1 January - total ","4 521 322"
"2010","IE","Population on 1 January - total ","4 549 428"
"2011","IE","Population on 1 January - total ","4 570 881"
"2012","IE","Population on 1 January - total ","4 582 707"
"2013","IE","Population on 1 January - total ","4 591 087"
"2014","IE","Population on 1 January - total ","4 605 501"
"2015","IE","Population on 1 January - total ","4 628 949"
"2016","IE","Population on 1 January - total ","4 658 530"
"2003","EL","Population on 1 January - total ","10 915 770"
"2004","EL","Population on 1 January - total ","10 940 369"
"2005","EL","Population on 1 January - total ","10 969 912"
"2006","EL","Population on 1 January - total ","11 004 716"
"2007","EL","Population on 1 January - total ","11 036 008"
"2008","EL","Population on 1 January - total ","11 060 937"
"2009","EL","Population on 1 January - total ","11 094 745"
"2010","EL","Population on 1 January - total ","11 119 289"
"2011","EL","Population on 1 January - total ","11 123 392"
"2012","EL","Population on 1 January - total ","11 086 406"
"2013","EL","Population on 1 January - total ","11 003 615"
"2014","EL","Population on 1 January - total ","10 926 807"
"2015","EL","Population on 1 January - total ","10 858 018"
"2016","EL","Population on 1 January - total ","10 793 526"
"2003","ES","Population on 1 January - total ","41 827 838"
"2004","ES","Population on 1 January - total ","42 547 451"
"2005","ES","Population on 1 January - total ","43 296 338"
"2006","ES","Population on 1 January - total ","44 009 971"
"2007","ES","Population on 1 January - total ","44 784 666"
"2008","ES","Population on 1 January - total ","45 668 939"
"2009","ES","Population on 1 January - total ","46 239 273"
"2010","ES","Population on 1 January - total ","46 486 619"
"2011","ES","Population on 1 January - total ","46 667 174"
"2012","ES","Population on 1 January - total ","46 818 219"
"2013","ES","Population on 1 January - total ","46 727 890"
"2014","ES","Population on 1 January - total ","46 512 199"
"2015","ES","Population on 1 January - total ","46 449 565"
"2016","ES","Population on 1 January - total ","46 438 422"
"2003","FR","Population on 1 January - total ","61 864 088"
"2004","FR","Population on 1 January - total ","62 292 241"
"2005","FR","Population on 1 January - total ","62 772 870"
"2006","FR","Population on 1 January - total ","63 229 635"
"2007","FR","Population on 1 January - total ","63 645 065"
"2008","FR","Population on 1 January - total ","64 007 193"
"2009","FR","Population on 1 January - total ","64 350 226"
"2010","FR","Population on 1 January - total ","64 658 856"
"2011","FR","Population on 1 January - total ","64 978 721"
"2012","FR","Population on 1 January - total ","65 276 983"
"2013","FR","Population on 1 January - total ","65 600 350"
"2014","FR","Population on 1 January - total ","65 889 148"
"2015","FR","Population on 1 January - total ","66 415 161"
"2016","FR","Population on 1 January - total ","66 661 621"
"2003","FX","Population on 1 January - total ","60 101 841"
"2004","FX","Population on 1 January - total ","60 505 421"
"2005","FX","Population on 1 January - total ","60 963 264"
"2006","FX","Population on 1 January - total ","61 399 733"
"2007","FX","Population on 1 January - total ","61 795 238"
"2008","FX","Population on 1 January - total ","62 134 866"
"2009","FX","Population on 1 January - total ","62 465 709"
"2010","FX","Population on 1 January - total ","62 765 235"
"2011","FX","Population on 1 January - total ","63 070 344"
"2012","FX","Population on 1 January - total ","63 375 971"
"2013","FX","Population on 1 January - total ","63 697 865"
"2014","FX","Population on 1 January - total ",":"
"2015","FX","Population on 1 January - total ",":"
"2016","FX","Population on 1 January - total ",":"
"2003","HR","Population on 1 January - total ","4 305 384"
"2004","HR","Population on 1 January - total ","4 305 725"
"2005","HR","Population on 1 January - total ","4 310 861"
"2006","HR","Population on 1 January - total ","4 312 487"
"2007","HR","Population on 1 January - total ","4 313 530"
"2008","HR","Population on 1 January - total ","4 311 967"
"2009","HR","Population on 1 January - total ","4 309 796"
"2010","HR","Population on 1 January - total ","4 302 847"
"2011","HR","Population on 1 January - total ","4 289 857"
"2012","HR","Population on 1 January - total ","4 275 984"
"2013","HR","Population on 1 January - total ","4 262 140"
"2014","HR","Population on 1 January - total ","4 246 809"
"2015","HR","Population on 1 January - total ","4 225 316"
"2016","HR","Population on 1 January - total ","4 190 669"
"2003","IT","Population on 1 January - total ","57 130 506"
"2004","IT","Population on 1 January - total ","57 495 900"
"2005","IT","Population on 1 January - total ","57 874 753"
"2006","IT","Population on 1 January - total ","58 064 214"
"2007","IT","Population on 1 January - total ","58 223 744"
"2008","IT","Population on 1 January - total ","58 652 875"
"2009","IT","Population on 1 January - total ","59 000 586"
"2010","IT","Population on 1 January - total ","59 190 143"
"2011","IT","Population on 1 January - total ","59 364 690"
"2012","IT","Population on 1 January - total ","59 394 207"
"2013","IT","Population on 1 January - total ","59 685 227"
"2014","IT","Population on 1 January - total ","60 782 668"
"2015","IT","Population on 1 January - total ","60 795 612"
"2016","IT","Population on 1 January - total ","60 665 551"
"2003","CY","Population on 1 January - total ","713 720"
"2004","CY","Population on 1 January - total ","722 893"
"2005","CY","Population on 1 January - total ","733 067"
"2006","CY","Population on 1 January - total ","744 013"
"2007","CY","Population on 1 January - total ","757 916"
"2008","CY","Population on 1 January - total ","776 333"
"2009","CY","Population on 1 January - total ","796 930"
"2010","CY","Population on 1 January - total ","819 140"
"2011","CY","Population on 1 January - total ","839 751"
"2012","CY","Population on 1 January - total ","862 011"
"2013","CY","Population on 1 January - total ","865 878"
"2014","CY","Population on 1 January - total ","858 000"
"2015","CY","Population on 1 January - total ","847 008"
"2016","CY","Population on 1 January - total ","848 319"
"2003","LV","Population on 1 January - total ","2 299 390"
"2004","LV","Population on 1 January - total ","2 276 520"
"2005","LV","Population on 1 January - total ","2 249 724"
"2006","LV","Population on 1 January - total ","2 227 874"
"2007","LV","Population on 1 January - total ","2 208 840"
"2008","LV","Population on 1 January - total ","2 191 810"
"2009","LV","Population on 1 January - total ","2 162 834"
"2010","LV","Population on 1 January - total ","2 120 504"
"2011","LV","Population on 1 January - total ","2 074 605"
"2012","LV","Population on 1 January - total ","2 044 813"
"2013","LV","Population on 1 January - total ","2 023 825"
"2014","LV","Population on 1 January - total ","2 001 468"
"2015","LV","Population on 1 January - total ","1 986 096"
"2016","LV","Population on 1 January - total ","1 968 957"
"2003","LT","Population on 1 January - total ","3 431 497"
"2004","LT","Population on 1 January - total ","3 398 929"
"2005","LT","Population on 1 January - total ","3 355 220"
"2006","LT","Population on 1 January - total ","3 289 835"
"2007","LT","Population on 1 January - total ","3 249 983"
"2008","LT","Population on 1 January - total ","3 212 605"
"2009","LT","Population on 1 January - total ","3 183 856"
"2010","LT","Population on 1 January - total ","3 141 976"
"2011","LT","Population on 1 January - total ","3 052 588"
"2012","LT","Population on 1 January - total ","3 003 641"
"2013","LT","Population on 1 January - total ","2 971 905"
"2014","LT","Population on 1 January - total ","2 943 472"
"2015","LT","Population on 1 January - total ","2 921 262"
"2016","LT","Population on 1 January - total ","2 888 558"
"2003","LU","Population on 1 January - total ","448 300"
"2004","LU","Population on 1 January - total ","454 960"
"2005","LU","Population on 1 January - total ","461 230"
"2006","LU","Population on 1 January - total ","469 086"
"2007","LU","Population on 1 January - total ","476 187"
"2008","LU","Population on 1 January - total ","483 799"
"2009","LU","Population on 1 January - total ","493 500"
"2010","LU","Population on 1 January - total ","502 066"
"2011","LU","Population on 1 January - total ","511 840"
"2012","LU","Population on 1 January - total ","524 853"
"2013","LU","Population on 1 January - total ","537 039"
"2014","LU","Population on 1 January - total ","549 680"
"2015","LU","Population on 1 January - total ","562 958"
"2016","LU","Population on 1 January - total ","576 249"
"2003","HU","Population on 1 January - total ","10 142 362"
"2004","HU","Population on 1 January - total ","10 116 742"
"2005","HU","Population on 1 January - total ","10 097 549"
"2006","HU","Population on 1 January - total ","10 076 581"
"2007","HU","Population on 1 January - total ","10 066 158"
"2008","HU","Population on 1 January - total ","10 045 401"
"2009","HU","Population on 1 January - total ","10 030 975"
"2010","HU","Population on 1 January - total ","10 014 324"
"2011","HU","Population on 1 January - total ","9 985 722"
"2012","HU","Population on 1 January - total ","9 931 925"
"2013","HU","Population on 1 January - total ","9 908 798"
"2014","HU","Population on 1 January - total ","9 877 365"
"2015","HU","Population on 1 January - total ","9 855 571"
"2016","HU","Population on 1 January - total ","9 830 485"
"2003","MT","Population on 1 January - total ","397 296"
"2004","MT","Population on 1 January - total ","399 867"
"2005","MT","Population on 1 January - total ","402 668"
"2006","MT","Population on 1 January - total ","404 999"
"2007","MT","Population on 1 January - total ","405 616"
"2008","MT","Population on 1 January - total ","407 832"
"2009","MT","Population on 1 January - total ","410 926"
"2010","MT","Population on 1 January - total ","414 027"
"2011","MT","Population on 1 January - total ","414 989"
"2012","MT","Population on 1 January - total ","417 546"
"2013","MT","Population on 1 January - total ","421 364"
"2014","MT","Population on 1 January - total ","425 384"
"2015","MT","Population on 1 January - total ","429 344"
"2016","MT","Population on 1 January - total ","434 403"
"2003","NL","Population on 1 January - total ","16 192 572"
"2004","NL","Population on 1 January - total ","16 258 032"
"2005","NL","Population on 1 January - total ","16 305 526"
"2006","NL","Population on 1 January - total ","16 334 210"
"2007","NL","Population on 1 January - total ","16 357 992"
"2008","NL","Population on 1 January - total ","16 405 399"
"2009","NL","Population on 1 January - total ","16 485 787"
"2010","NL","Population on 1 January - total ","16 574 989"
"2011","NL","Population on 1 January - total ","16 655 799"
"2012","NL","Population on 1 January - total ","16 730 348"
"2013","NL","Population on 1 January - total ","16 779 575"
"2014","NL","Population on 1 January - total ","16 829 289"
"2015","NL","Population on 1 January - total ","16 900 726"
"2016","NL","Population on 1 January - total ","16 979 120"
"2003","AT","Population on 1 January - total ","8 100 273"
"2004","AT","Population on 1 January - total ","8 142 573"
"2005","AT","Population on 1 January - total ","8 201 359"
"2006","AT","Population on 1 January - total ","8 254 298"
"2007","AT","Population on 1 January - total ","8 282 984"
"2008","AT","Population on 1 January - total ","8 307 989"
"2009","AT","Population on 1 January - total ","8 335 003"
"2010","AT","Population on 1 January - total ","8 351 643"
"2011","AT","Population on 1 January - total ","8 375 164"
"2012","AT","Population on 1 January - total ","8 408 121"
"2013","AT","Population on 1 January - total ","8 451 860"
"2014","AT","Population on 1 January - total ","8 506 889"
"2015","AT","Population on 1 January - total ","8 576 261"
"2016","AT","Population on 1 January - total ","8 700 471"
"2003","PL","Population on 1 January - total ","38 218 531"
"2004","PL","Population on 1 January - total ","38 190 608"
"2005","PL","Population on 1 January - total ","38 173 835"
"2006","PL","Population on 1 January - total ","38 157 055"
"2007","PL","Population on 1 January - total ","38 125 479"
"2008","PL","Population on 1 January - total ","38 115 641"
"2009","PL","Population on 1 January - total ","38 135 876"
"2010","PL","Population on 1 January - total ","38 022 869"
"2011","PL","Population on 1 January - total ","38 062 718"
"2012","PL","Population on 1 January - total ","38 063 792"
"2013","PL","Population on 1 January - total ","38 062 535"
"2014","PL","Population on 1 January - total ","38 017 856"
"2015","PL","Population on 1 January - total ","38 005 614"
"2016","PL","Population on 1 January - total ","37 967 209"
"2003","PT","Population on 1 January - total ","10 444 592"
"2004","PT","Population on 1 January - total ","10 473 050"
"2005","PT","Population on 1 January - total ","10 494 672"
"2006","PT","Population on 1 January - total ","10 511 988"
"2007","PT","Population on 1 January - total ","10 532 588"
"2008","PT","Population on 1 January - total ","10 553 339"
"2009","PT","Population on 1 January - total ","10 563 014"
"2010","PT","Population on 1 January - total ","10 573 479"
"2011","PT","Population on 1 January - total ","10 572 721"
"2012","PT","Population on 1 January - total ","10 542 398"
"2013","PT","Population on 1 January - total ","10 487 289"
"2014","PT","Population on 1 January - total ","10 427 301"
"2015","PT","Population on 1 January - total ","10 374 822"
"2016","PT","Population on 1 January - total ","10 341 330"
"2003","RO","Population on 1 January - total ","21 627 509"
"2004","RO","Population on 1 January - total ","21 521 142"
"2005","RO","Population on 1 January - total ","21 382 354"
"2006","RO","Population on 1 January - total ","21 257 016"
"2007","RO","Population on 1 January - total ","21 130 503"
"2008","RO","Population on 1 January - total ","20 635 460"
"2009","RO","Population on 1 January - total ","20 440 290"
"2010","RO","Population on 1 January - total ","20 294 683"
"2011","RO","Population on 1 January - total ","20 199 059"
"2012","RO","Population on 1 January - total ","20 095 996"
"2013","RO","Population on 1 January - total ","20 020 074"
"2014","RO","Population on 1 January - total ","19 947 311"
"2015","RO","Population on 1 January - total ","19 870 647"
"2016","RO","Population on 1 January - total ","19 759 968"
"2003","SI","Population on 1 January - total ","1 995 033"
"2004","SI","Population on 1 January - total ","1 996 433"
"2005","SI","Population on 1 January - total ","1 997 590"
"2006","SI","Population on 1 January - total ","2 003 358"
"2007","SI","Population on 1 January - total ","2 010 377"
"2008","SI","Population on 1 January - total ","2 010 269"
"2009","SI","Population on 1 January - total ","2 032 362"
"2010","SI","Population on 1 January - total ","2 046 976"
"2011","SI","Population on 1 January - total ","2 050 189"
"2012","SI","Population on 1 January - total ","2 055 496"
"2013","SI","Population on 1 January - total ","2 058 821"
"2014","SI","Population on 1 January - total ","2 061 085"
"2015","SI","Population on 1 January - total ","2 062 874"
"2016","SI","Population on 1 January - total ","2 064 188"
"2003","SK","Population on 1 January - total ","5 374 873"
"2004","SK","Population on 1 January - total ","5 371 875"
"2005","SK","Population on 1 January - total ","5 372 685"
"2006","SK","Population on 1 January - total ","5 372 928"
"2007","SK","Population on 1 January - total ","5 373 180"
"2008","SK","Population on 1 January - total ","5 376 064"
"2009","SK","Population on 1 January - total ","5 382 401"
"2010","SK","Population on 1 January - total ","5 390 410"
"2011","SK","Population on 1 January - total ","5 392 446"
"2012","SK","Population on 1 January - total ","5 404 322"
"2013","SK","Population on 1 January - total ","5 410 836"
"2014","SK","Population on 1 January - total ","5 415 949"
"2015","SK","Population on 1 January - total ","5 421 349"
"2016","SK","Population on 1 January - total ","5 426 252"
"2003","FI","Population on 1 January - total ","5 206 295"
"2004","FI","Population on 1 January - total ","5 219 732"
"2005","FI","Population on 1 January - total ","5 236 611"
"2006","FI","Population on 1 January - total ","5 255 580"
"2007","FI","Population on 1 January - total ","5 276 955"
"2008","FI","Population on 1 January - total ","5 300 484"
"2009","FI","Population on 1 January - total ","5 326 314"
"2010","FI","Population on 1 January - total ","5 351 427"
"2011","FI","Population on 1 January - total ","5 375 276"
"2012","FI","Population on 1 January - total ","5 401 267"
"2013","FI","Population on 1 January - total ","5 426 674"
"2014","FI","Population on 1 January - total ","5 451 270"
"2015","FI","Population on 1 January - total ","5 471 753"
"2016","FI","Population on 1 January - total ","5 487 308"
"2003","SE","Population on 1 January - total ","8 940 788"
"2004","SE","Population on 1 January - total ","8 975 670"
"2005","SE","Population on 1 January - total ","9 011 392"
"2006","SE","Population on 1 January - total ","9 047 752"
"2007","SE","Population on 1 January - total ","9 113 257"
"2008","SE","Population on 1 January - total ","9 182 927"
"2009","SE","Population on 1 January - total ","9 256 347"
"2010","SE","Population on 1 January - total ","9 340 682"
"2011","SE","Population on 1 January - total ","9 415 570"
"2012","SE","Population on 1 January - total ","9 482 855"
"2013","SE","Population on 1 January - total ","9 555 893"
"2014","SE","Population on 1 January - total ","9 644 864"
"2015","SE","Population on 1 January - total ","9 747 355"
"2016","SE","Population on 1 January - total ","9 851 017"
"2003","UK","Population on 1 January - total ","59 501 394"
"2004","UK","Population on 1 January - total ","59 793 759"
"2005","UK","Population on 1 January - total ","60 182 050"
"2006","UK","Population on 1 January - total ","60 620 361"
"2007","UK","Population on 1 January - total ","61 073 279"
"2008","UK","Population on 1 January - total ","61 571 647"
"2009","UK","Population on 1 January - total ","62 042 343"
