Peso;Arrancada;Dos.Tiempos;Total;Categoria;Sexo
55.61;132;160;292;menos 56;M
55.64;127;161;288;menos 56;M
55.87;130;150;280;menos 56;M
55.73;123;150;273;menos 56;M
55.93;120;149;269;menos 56;M
55.87;127;140;267;menos 56;M
55.86;118;146;264;menos 56;M
55.88;112;152;264;menos 56;M
55.19;121;142;263;menos 56;M
55.93;115;146;261;menos 56;M
55.89;110;147;257;menos 56;M
55.96;115;141;256;menos 56;M
55.83;114;139;253;menos 56;M
55.83;106;146;252;menos 56;M
55.51;116;135;251;menos 56;M
56.00;112;138;250;menos 56;M
55.90;112;136;248;menos 56;M
55.82;115;132;247;menos 56;M
55.87;116;130;246;menos 56;M
55.87;105;140;245;menos 56;M
55.52;110;128;238;menos 56;M
55.98;106;130;236;menos 56;M
55.82;105;129;234;menos 56;M
55.89;101;130;231;menos 56;M
56.00;107;123;230;menos 56;M
50.68;105;120;225;menos 56;M
55.85;100;125;225;menos 56;M
55.49;95;127;222;menos 56;M
55.72;96;125;221;menos 56;M
56.00;95;125;220;menos 56;M
55.87;95;120;215;menos 56;M
61.51;147;173;320;menos 62;M
61.90;141;174;315;menos 62;M
61.64;143;171;314;menos 62;M
61.64;140;172;312;menos 62;M
61.74;137;172;309;menos 62;M
61.97;142;160;302;menos 62;M
61.70;133;165;298;menos 62;M
61.22;131;161;292;menos 62;M
61.75;129;161;290;menos 62;M
61.50;128;160;288;menos 62;M
61.90;129;157;286;menos 62;M
61.60;127;154;281;menos 62;M
61.96;127;151;278;menos 62;M
61.91;122;151;273;menos 62;M
61.85;125;145;270;menos 62;M
61.67;121;145;266;menos 62;M
61.13;122;143;265;menos 62;M
61.98;115;150;265;menos 62;M
61.61;117;144;261;menos 62;M
61.83;115;145;260;menos 62;M
61.57;117;138;255;menos 62;M
61.71;113;142;255;menos 62;M
61.88;115;140;255;menos 62;M
61.84;107;143;250;menos 62;M
61.96;107;140;247;menos 62;M
61.79;111;132;243;menos 62;M
61.38;108;133;241;menos 62;M
61.42;109;132;241;menos 62;M
61.77;110;130;240;menos 62;M
61.00;100;137;237;menos 62;M
61.68;107;130;237;menos 62;M
61.77;104;125;229;menos 62;M
68.85;160;198;358;menos 69;M
68.88;157;180;337;menos 69;M
68.75;160;175;335;menos 69;M
68.64;148;181;329;menos 69;M
68.85;146;178;324;menos 69;M
68.47;140;181;321;menos 69;M
68.09;140;180;320;menos 69;M
68.45;145;175;320;menos 69;M
68.54;140;177;317;menos 69;M
68.40;143;170;313;menos 69;M
68.47;140;172;312;menos 69;M
68.09;141;170;311;menos 69;M
68.56;135;175;310;menos 69;M
68.70;140;167;307;menos 69;M
68.75;135;171;306;menos 69;M
68.80;135;171;306;menos 69;M
66.91;136;165;301;menos 69;M
66.03;136;161;297;menos 69;M
68.69;137;157;294;menos 69;M
67.41;134;158;292;menos 69;M
68.83;128;158;286;menos 69;M
68.43;127;155;282;menos 69;M
68.68;122;160;282;menos 69;M
68.63;120;158;278;menos 69;M
68.03;125;152;277;menos 69;M
68.79;121;155;276;menos 69;M
68.98;126;150;276;menos 69;M
68.59;125;150;275;menos 69;M
68.31;115;140;255;menos 69;M
68.63;75;90;165;menos 69;M
76.72;173;200;373;menos 77;M
76.42;170;200;370;menos 77;M
76.53;157;199;356;menos 77;M
76.31;161;193;354;menos 77;M
76.51;160;192;352;menos 77;M
76.84;155;196;351;menos 77;M
76.25;155;190;345;menos 77;M
76.77;156;186;342;menos 77;M
76.78;150;190;340;menos 77;M
76.92;149;188;337;menos 77;M
76.44;153;183;336;menos 77;M
76.67;148;182;330;menos 77;M
76.85;150;180;330;menos 77;M
76.36;146;178;324;menos 77;M
76.87;145;178;323;menos 77;M
76.05;138;184;322;menos 77;M
76.78;141;181;322;menos 77;M
75.30;140;180;320;menos 77;M
75.96;148;172;320;menos 77;M
77.00;144;175;319;menos 77;M
73.58;147;170;317;menos 77;M
76.89;145;171;316;menos 77;M
75.26;135;178;313;menos 77;M
76.46;135;177;312;menos 77;M
76.98;147;165;312;menos 77;M
77.00;135;176;311;menos 77;M
73.19;140;165;305;menos 77;M
76.90;140;165;305;menos 77;M
76.55;130;166;296;menos 77;M
76.46;130;165;295;menos 77;M
76.59;125;151;276;menos 77;M
76.40;120;150;270;menos 77;M
76.96;125;143;268;menos 77;M
71.30;123;142;265;menos 77;M
74.34;110;135;245;menos 77;M
75.85;64;76;140;menos 77;M
84.55;173;210;383;menos 85;M
84.68;172;208;380;menos 85;M
83.84;166;211;377;menos 85;M
83.05;164;210;374;menos 85;M
84.78;170;202;372;menos 85;M
83.99;169;200;369;menos 85;M
84.90;165;201;366;menos 85;M
84.05;163;202;365;menos 85;M
82.61;162;200;362;menos 85;M
84.37;165;197;362;menos 85;M
84.25;160;194;354;menos 85;M
84.55;157;196;353;menos 85;M
84.81;160;192;352;menos 85;M
84.64;165;186;351;menos 85;M
84.43;155;195;350;menos 85;M
84.77;147;195;342;menos 85;M
83.54;156;185;341;menos 85;M
84.32;151;190;341;menos 85;M
84.21;155;185;340;menos 85;M
84.73;146;192;338;menos 85;M
85.00;152;186;338;menos 85;M
84.73;150;185;335;menos 85;M
84.90;153;181;334;menos 85;M
84.74;148;185;333;menos 85;M
84.80;150;180;330;menos 85;M
84.74;146;182;328;menos 85;M
84.56;146;180;326;menos 85;M
83.69;150;175;325;menos 85;M
84.84;145;175;320;menos 85;M
84.95;145;174;319;menos 85;M
83.53;143;175;318;menos 85;M
84.16;145;170;315;menos 85;M
84.24;142;165;307;menos 85;M
84.78;125;150;275;menos 85;M
85.00;106;135;241;menos 85;M
91.92;185;218;403;menos 94;M
93.87;185;217;402;menos 94;M
93.23;177;220;397;menos 94;M
93.80;175;218;393;menos 94;M
93.21;175;215;390;menos 94;M
93.31;180;210;390;menos 94;M
92.72;175;211;386;menos 94;M
93.36;178;208;386;menos 94;M
93.04;171;210;381;menos 94;M
92.77;175;205;380;menos 94;M
92.89;170;210;380;menos 94;M
92.51;175;202;377;menos 94;M
92.71;166;208;374;menos 94;M
93.23;173;201;374;menos 94;M
93.44;162;210;372;menos 94;M
93.62;170;201;371;menos 94;M
93.91;165;205;370;menos 94;M
93.48;162;206;368;menos 94;M
93.69;160;205;365;menos 94;M
92.12;160;200;360;menos 94;M
93.58;168;190;358;menos 94;M
93.39;162;195;357;menos 94;M
93.07;168;188;356;menos 94;M
90.33;155;200;355;menos 94;M
93.87;156;197;353;menos 94;M
90.26;161;190;351;menos 94;M
91.96;160;191;351;menos 94;M
93.64;153;198;351;menos 94;M
93.96;156;195;351;menos 94;M
93.40;158;192;350;menos 94;M
90.88;155;190;345;menos 94;M
93.20;155;182;337;menos 94;M
93.86;145;190;335;menos 94;M
88.98;147;183;330;menos 94;M
93.47;150;180;330;menos 94;M
93.94;145;180;325;menos 94;M
93.98;143;180;323;menos 94;M
93.07;138;180;318;menos 94;M
93.77;135;172;307;menos 94;M
91.59;135;167;302;menos 94;M
91.92;90;115;205;menos 94;M
104.11;188;227;415;menos 105;M
104.43;192;223;415;menos 105;M
103.87;190;220;410;menos 105;M
102.77;180;222;402;menos 105;M
104.28;181;221;402;menos 105;M
104.26;182;215;397;menos 105;M
104.07;176;218;394;menos 105;M
104.13;180;210;390;menos 105;M
104.65;180;210;390;menos 105;M
104.48;175;212;387;menos 105;M
103.99;175;211;386;menos 105;M
103.99;175;205;380;menos 105;M
104.95;176;203;379;menos 105;M
104.40;167;210;377;menos 105;M
103.16;164;208;372;menos 105;M
98.81;170;200;370;menos 105;M
104.91;168;202;370;menos 105;M
104.94;175;195;370;menos 105;M
99.43;172;195;367;menos 105;M
100.85;160;200;360;menos 105;M
101.33;165;195;360;menos 105;M
102.63;154;206;360;menos 105;M
99.80;155;202;357;menos 105;M
104.35;158;199;357;menos 105;M
103.30;162;189;351;menos 105;M
104.07;161;190;351;menos 105;M
104.25;156;194;350;menos 105;M
98.82;153;195;348;menos 105;M
104.32;158;189;347;menos 105;M
103.17;154;190;344;menos 105;M
104.81;155;189;344;menos 105;M
98.06;150;190;340;menos 105;M
104.93;145;185;330;menos 105;M
104.50;140;182;322;menos 105;M
104.97;142;180;322;menos 105;M
101.02;140;180;320;menos 105;M
99.00;140;179;319;menos 105;M
104.82;137;170;307;menos 105;M
162.01;208;245;453;mas 105;M
146.07;194;246;440;mas 105;M
158.13;205;235;440;mas 105;M
158.89;185;242;427;mas 105;M
149.29;191;235;426;mas 105;M
147.69;190;230;420;mas 105;M
149.13;190;228;418;mas 105;M
141.25;191;225;416;mas 105;M
134.72;185;220;405;mas 105;M
135.85;175;226;401;mas 105;M
142.94;180;221;401;mas 105;M
120.36;185;215;400;mas 105;M
155.05;173;223;396;mas 105;M
121.84;180;215;395;mas 105;M
150.25;183;212;395;mas 105;M
144.10;175;214;389;mas 105;M
116.38;178;202;380;mas 105;M
133.41;172;207;379;mas 105;M
126.17;165;212;377;mas 105;M
137.22;163;210;373;mas 105;M
108.50;170;200;370;mas 105;M
129.83;163;199;362;mas 105;M
120.43;165;196;361;mas 105;M
138.42;160;195;355;mas 105;M
130.81;146;200;346;mas 105;M
122.98;155;190;345;mas 105;M
138.46;152;190;342;mas 105;M
114.28;141;183;324;mas 105;M
112.57;145;175;320;mas 105;M
133.97;133;170;303;mas 105;M
47.88;93;121;214;menos 48;F
47.72;90;115;205;menos 48;F
47.83;88;116;204;menos 48;F
47.71;83;103;186;menos 48;F
47.08;80;105;185;menos 48;F
47.94;80;100;180;menos 48;F
47.87;80;96;176;menos 48;F
47.40;75;100;175;menos 48;F
47.20;74;100;174;menos 48;F
47.87;76;95;171;menos 48;F
47.94;80;90;170;menos 48;F
47.68;75;93;168;menos 48;F
47.81;78;90;168;menos 48;F
47.93;75;92;167;menos 48;F
47.58;70;95;165;menos 48;F
47.57;68;90;158;menos 48;F
47.89;71;84;155;menos 48;F
47.86;65;87;152;menos 48;F
45.18;67;84;151;menos 48;F
48.00;65;85;150;menos 48;F
47.74;66;83;149;menos 48;F
47.84;67;82;149;menos 48;F
47.92;64;84;148;menos 48;F
47.62;63;83;146;menos 48;F
47.93;66;80;146;menos 48;F
47.97;62;81;143;menos 48;F
46.29;60;80;140;menos 48;F
46.82;45;56;101;menos 48;F
52.84;100;122;222;menos 53;F
52.89;90;121;211;menos 53;F
52.78;93;113;206;menos 53;F
52.19;88;113;201;menos 53;F
49.55;87;113;200;menos 53;F
52.64;85;113;198;menos 53;F
52.95;87;110;197;menos 53;F
50.17;85;110;195;menos 53;F
52.80;87;106;193;menos 53;F
52.41;85;107;192;menos 53;F
52.41;85;105;190;menos 53;F
52.47;80;106;186;menos 53;F
52.63;80;103;183;menos 53;F
52.90;84;98;182;menos 53;F
52.96;80;100;180;menos 53;F
52.58;79;96;175;menos 53;F
52.94;75;100;175;menos 53;F
50.29;75;90;165;menos 53;F
52.90;71;94;165;menos 53;F
52.87;68;95;163;menos 53;F
52.88;68;89;157;menos 53;F
52.96;69;88;157;menos 53;F
53.00;67;83;150;menos 53;F
52.87;67;79;146;menos 53;F
52.58;62;77;139;menos 53;F
52.73;42;55;97;menos 53;F
57.54;102;135;237;menos 58;F
57.82;103;130;233;menos 58;F
57.82;100;130;230;menos 58;F
57.24;100;127;227;menos 58;F
57.22;94;126;220;menos 58;F
57.76;96;120;216;menos 58;F
57.19;93;120;213;menos 58;F
57.69;89;118;207;menos 58;F
57.98;95;110;205;menos 58;F
57.83;85;117;202;menos 58;F
57.77;90;111;201;menos 58;F
56.94;90;110;200;menos 58;F
57.51;89;111;200;menos 58;F
56.90;85;110;195;menos 58;F
57.85;86;109;195;menos 58;F
56.50;83;104;187;menos 58;F
57.51;83;101;184;menos 58;F
57.78;82;102;184;menos 58;F
57.87;81;103;184;menos 58;F
57.98;80;104;184;menos 58;F
57.34;82;101;183;menos 58;F
57.72;77;105;182;menos 58;F
57.29;85;96;181;menos 58;F
57.90;86;95;181;menos 58;F
57.74;80;98;178;menos 58;F
57.29;78;95;173;menos 58;F
57.93;75;90;165;menos 58;F
54.48;45;58;103;menos 58;F
54.40;40;58;98;menos 58;F
62.35;105;143;246;menos 63;F
62.43;111;130;241;menos 63;F
62.59;112;129;241;menos 63;F
62.12;103;134;237;menos 63;F
62.92;107;128;235;menos 63;F
62.49;104;127;231;menos 63;F
60.22;97;130;227;menos 63;F
62.96;99;125;224;menos 63;F
62.62;95;125;220;menos 63;F
62.33;101;115;216;menos 63;F
62.65;100;114;214;menos 63;F
62.82;96;114;210;menos 63;F
62.61;91;118;209;menos 63;F
62.62;88;119;207;menos 63;F
62.99;90;117;207;menos 63;F
59.69;90;113;203;menos 63;F
62.44;90;110;200;menos 63;F
61.59;86;111;197;menos 63;F
62.78;87;108;195;menos 63;F
62.77;83;110;193;menos 63;F
62.28;85;105;190;menos 63;F
60.53;82;105;187;menos 63;F
62.61;83;103;186;menos 63;F
61.96;78;102;180;menos 63;F
62.98;73;93;166;menos 63;F
61.45;72;88;160;menos 63;F
68.23;116;140;256;menos 69;F
68.26;113;140;253;menos 69;F
67.32;112;139;251;menos 69;F
68.72;106;137;243;menos 69;F
68.42;105;136;241;menos 69;F
68.25;100;132;232;menos 69;F
68.70;104;127;231;menos 69;F
64.85;103;124;227;menos 69;F
67.94;100;125;225;menos 69;F
68.40;98;125;223;menos 69;F
68.64;97;124;221;menos 69;F
68.68;101;120;221;menos 69;F
68.52;100;120;220;menos 69;F
68.27;96;116;212;menos 69;F
68.78;92;120;212;menos 69;F
64.24;93;113;206;menos 69;F
68.27;92;114;206;menos 69;F
68.17;95;110;205;menos 69;F
68.49;90;115;205;menos 69;F
65.66;89;113;202;menos 69;F
67.96;92;110;202;menos 69;F
68.53;90;112;202;menos 69;F
68.93;86;115;201;menos 69;F
67.86;89;110;199;menos 69;F
65.99;88;108;196;menos 69;F
68.65;88;108;196;menos 69;F
67.09;85;105;190;menos 69;F
68.44;84;103;187;menos 69;F
74.67;134;161;295;menos 75;F
74.97;133;160;293;menos 75;F
73.86;123;160;283;menos 75;F
74.57;120;135;255;menos 75;F
74.31;113;135;248;menos 75;F
74.46;111;136;247;menos 75;F
74.33;110;134;244;menos 75;F
